"node","N","M","phylum","class","order","family","genus"
"Acari",18.00180018,0.1,"Arthropoda","Arachnida",,,
"Ameletus",72.00720072,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",40.50405041,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",481.5481548,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Dicranota",13.50135014,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Muscidae",4.500450045,1.259049334,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae"
