"node","N","M","phylum","class","order","family","genus"
"Chironomidae",94.50945095,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Drunella",4.500450045,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Helodon",144.0144014,0.286362446,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon"
"Nematomorpha",31.50315032,0.015,"Nematomorpha",,,,
"Ochrotrichia",4.500450045,0.472343989,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia"
"Oligochaeta",4.500450045,0.506640431,"Annelida","Clitellata",,,
"Optioservus",288.0288029,0.136166585,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus"
"Oreogeton",4.500450045,0.539316267,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Pisidium",733.5733573,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
