"node","N","M","phylum","class","order","family","genus"
"Baetis",22.22222222,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Brachycentrus",3.03030303,10.9444965,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Brachycentrus"
"Calineuria",3.03030303,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Chironomidae",92.92929293,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Cleptelmis",1.01010101,0.33255826,"Arthropoda","Insecta","Coleoptera","Elmidae","Cleptelmis"
"Epeorus",5.050505051,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Hesperoperla",2.02020202,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla"
"Heterlimnius",4.04040404,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Ironodes",2.02020202,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Malenka",12.12121212,0.596340159,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Oligochaeta",4.04040404,0.506640431,"Annelida","Clitellata",,,
"Pisidium",65.65656566,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",9.090909091,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",344.4444444,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
