"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Calineuria",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","exact","family",1,"source","https://mangal.io - the ecological interaction database."
"Baetis","Chironomidae",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",216.0216022,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"source","https://mangal.io - the ecological interaction database."
"Baetis","Hesperoperla",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla","exact","family",1,"source","https://mangal.io - the ecological interaction database."
"Baetis","Rhyacophila",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","https://mangal.io - the ecological interaction database."
"Centroptilum","Calineuria",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","family","family",2,"source","https://mangal.io - the ecological interaction database."
"Centroptilum","Chironomidae",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",216.0216022,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"source","https://mangal.io - the ecological interaction database."
"Centroptilum","Hesperoperla",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla","family","family",2,"source","https://mangal.io - the ecological interaction database."
"Centroptilum","Rhyacophila",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",3,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Chironomidae",216.0216022,"Arthropoda","Insecta","Diptera","Chironomidae",,216.0216022,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Oreogeton",216.0216022,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","exact","exact",4,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Rhyacophila",216.0216022,"Arthropoda","Insecta","Diptera","Chironomidae",,13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",3,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Simulium",216.0216022,"Arthropoda","Insecta","Diptera","Chironomidae",,9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Zapada",216.0216022,"Arthropoda","Insecta","Diptera","Chironomidae",,27.00270027,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","family","exact",2,"source","https://mangal.io - the ecological interaction database."
"Epeorus","Rhyacophila",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",2,"source","https://mangal.io - the ecological interaction database."
"Ironodes","Rhyacophila",58.50585059,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",2,"source","https://mangal.io - the ecological interaction database."
"Rhyacophila","Rhyacophila",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","https://mangal.io - the ecological interaction database."
"Simulium","Chironomidae",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",216.0216022,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",2,"source","https://mangal.io - the ecological interaction database."
"Simulium","Rhyacophila",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",2,"source","https://mangal.io - the ecological interaction database."
"Simulium","Simulium",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"source","https://mangal.io - the ecological interaction database."
"Zapada","Rhyacophila",27.00270027,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",1,"source","https://mangal.io - the ecological interaction database."
