"resource","consumer","res.taxonomic_name","res.m","res.network","res.o.net","res.site","res.n","res.phylum","res.class","res.order","res.family","res.genus","res.resolved.to","con.taxonomic_name","con.m","con.network","con.o.net","con.site","con.n","con.phylum","con.class","con.order","con.family","con.genus","con.resolved.to","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari","Acari",0.1,"LO.KERN","KERN","10049",256,"Arthropoda","Arachnida",,,,"Class","Acari",0.1,"LO.KERN","KERN","10049",256,"Arthropoda","Arachnida",,,,"Class","exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae","Acari",0.1,"LO.KERN","KERN","10049",256,"Arthropoda","Arachnida",,,,"Class","Chironomidae",0.95630662,"LO.KERN","KERN","10049",4160,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae","Baetis",0.712555345,"LO.KERN","KERN","10049",40,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Chironomidae",0.95630662,"LO.KERN","KERN","10049",4160,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Doroneuria","Baetis",0.712555345,"LO.KERN","KERN","10049",40,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Doroneuria",47.55178364,"LO.KERN","KERN","10049",8,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","Genus","exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Oligochaeta","Baetis",0.712555345,"LO.KERN","KERN","10049",40,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Oligochaeta",0.506640431,"LO.KERN","KERN","10049",72,"Annelida","Clitellata",,,,"Subclass","exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Psychoglypha","Baetis",0.712555345,"LO.KERN","KERN","10049",40,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Psychoglypha",10.61210978,"LO.KERN","KERN","10049",40,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Suwallia","Baetis",0.712555345,"LO.KERN","KERN","10049",40,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Suwallia",2.473558448,"LO.KERN","KERN","10049",8,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia","Genus","exact","family",17,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Turbellaria","Baetis",0.712555345,"LO.KERN","KERN","10049",40,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Turbellaria",0.030679362,"LO.KERN","KERN","10049",16,"Platyhelminthes","Turbellaria",,,,"Class","family","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Bezzia","Chironomidae","Bezzia",0.162619632,"LO.KERN","KERN","10049",144,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia","Genus","Chironomidae",0.95630662,"LO.KERN","KERN","10049",4160,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",9,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Acari","Chironomidae",0.95630662,"LO.KERN","KERN","10049",4160,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Acari",0.1,"LO.KERN","KERN","10049",256,"Arthropoda","Arachnida",,,,"Class","exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
