"node","N","M","phylum","class","order","family","genus"
"Acari",745.5197133,0.1,"Arthropoda","Arachnida",,,
"Agabus",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Baetis",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Ceratopogonidae",1.792114695,1.154618482,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Ceratopogon"
"Chironomidae",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Clinocera",5.376344086,1.217892125,"Arthropoda","Insecta","Diptera","Empididae","Clinocera"
"Culicidae",0.597371565,0.395108595,"Arthropoda","Insecta","Diptera","Culicidae","Culiseta"
"Desmona",10.75268817,11.25992905,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Ecclisomyia",1.792114695,9.197155302,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Limonia",1.792114695,2.268208212,"Arthropoda","Insecta","Diptera","Tipulidae","Limonia"
"Muscidae",1.792114695,1.259049334,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae"
"Oligochaeta",93.78733572,0.506640431,"Annelida","Clitellata",,,
"Ostracoda",11.9474313,0.014,"Arthropoda","Ostracoda",,,
"Prosimulium",29.27120669,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Psychoglypha",0.597371565,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Rhyacophila",2.986857825,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Diptera",75.86618877,0.180043737,"Arthropoda","Insecta","Diptera","Sciaridae","Sciara"
"Stegopterna",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Stilobezzia",0.597371565,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia"
"Suwallia",1.792114695,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Turbellaria",10.75268817,0.030679362,"Platyhelminthes","Turbellaria",,,
