"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"LO.KERN","KERN","10037",282.6666667,"Arthropoda","Arachnida",,,,"Class"
"Baetis","Baetis",0.712555345,"LO.KERN","KERN","10037",5.333333333,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus"
"Chironomidae","Chironomidae",0.95630662,"LO.KERN","KERN","10037",2656,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Desmona","Desmona",11.25992905,"LO.KERN","KERN","10037",5.333333333,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona","Genus"
"Dicosmoecus","Dicosmoecus",7.071423253,"LO.KERN","KERN","10037",5.333333333,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","Genus"
"Dicranota","Dicranota",0.456662436,"LO.KERN","KERN","10037",5.333333333,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus"
"Limnophora","Limnophora",0.83633613,"LO.KERN","KERN","10037",10.66666667,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","Genus"
"Oligochaeta","Oligochaeta",0.506640431,"LO.KERN","KERN","10037",90.66666667,"Annelida","Clitellata",,,,"Subclass"
"Oreodytes","Oreodytes",2.487221922,"LO.KERN","KERN","10037",26.66666667,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus"
"Psychoglypha","Psychoglypha",10.61210978,"LO.KERN","KERN","10037",5.333333333,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus"
"Sanfilippodytes","Sanfilippodytes",0.66911638,"LO.KERN","KERN","10037",5.333333333,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus"
"Benthic.producers","Benthic.producers",0.001,"LO.KERN","KERN","10037",1,,,,"Benthic.producers",,"Family"
"Pelagic.producers","Pelagic.producers",0.001,"LO.KERN","KERN","10037",1,,,,"Pelagic.producers",,"Family"
