"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"LO.KERN","KERN","10049",256,"Arthropoda","Arachnida",,,,"Class"
"Ameletus","Ameletus",9.08748113,"LO.KERN","KERN","10049",24,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus","Genus"
"Baetis","Baetis",0.712555345,"LO.KERN","KERN","10049",40,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus"
"Bezzia","Bezzia",0.162619632,"LO.KERN","KERN","10049",144,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia","Genus"
"Chironomidae","Chironomidae",0.95630662,"LO.KERN","KERN","10049",4160,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Cinygmula","Cinygmula",7.969282283,"LO.KERN","KERN","10049",24,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula","Genus"
"Ceratopogonidae","Culicoides",0.162619632,"LO.KERN","KERN","10049",8,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Culicoides","Family"
"Doroneuria","Doroneuria",47.55178364,"LO.KERN","KERN","10049",8,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","Genus"
"Drunella","Drunella",4.884692448,"LO.KERN","KERN","10049",16,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella","Genus"
"Heterlimnius","Heterlimnius",0.562121954,"LO.KERN","KERN","10049",88,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius","Genus"
"Oligochaeta","Oligochaeta",0.506640431,"LO.KERN","KERN","10049",72,"Annelida","Clitellata",,,,"Subclass"
"Ostracoda","Ostracoda",0.014,"LO.KERN","KERN","10049",8,"Arthropoda","Ostracoda",,,,"Class"
"Paraleptophlebia","Paraleptophlebia",1.004883072,"LO.KERN","KERN","10049",16,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","Genus"
"Pisidium","Pisidium",0.102405857,"LO.KERN","KERN","10049",304,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium","Genus"
"Psychoglypha","Psychoglypha",10.61210978,"LO.KERN","KERN","10049",40,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus"
"Serratella","Serratella",1.176798991,"LO.KERN","KERN","10049",24,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella","Genus"
"Suwallia","Suwallia",2.473558448,"LO.KERN","KERN","10049",8,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia","Genus"
"Turbellaria","Turbellaria",0.030679362,"LO.KERN","KERN","10049",16,"Platyhelminthes","Turbellaria",,,,"Class"
