"node","N","M","phylum","class","order","family","genus"
"Acentrella",9.00090009,0.285232064,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Agabus",4.500450045,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Apatania",31.50315032,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",99.00990099,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",751.5751575,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Desmona",76.50765077,11.25992905,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Dicranota",31.50315032,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Oligochaeta",9.00090009,0.506640431,"Annelida","Clitellata",,,
"Prosimulium",9.00090009,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
