"node","N","M","phylum","class","order","family","genus"
"Baetis",14.81481481,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",113.5802469,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Epeorus",1.234567901,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heterlimnius",4.938271605,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Malenka",4.938271605,0.596340159,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Pisidium",238.2716049,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Planorbidae",1.234567901,0.102405857,"Mollusca","Gastropoda","Basommatophora","Planorbidae",
"Rhyacophila",1.234567901,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",6.172839506,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",3674.074074,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
