"node","N","M","phylum","class","order","family","genus"
"Acari",808,0.1,"Arthropoda","Arachnida",,,
"Ameletus",80,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",392,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Bezzia",72,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Chironomidae",2192,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Cinygmula",48,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Clinocera",16,1.217892125,"Arthropoda","Insecta","Diptera","Empididae","Clinocera"
"Doroneuria",144,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Drunella",80,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Heterlimnius",320,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Micrasema",16,5.45856005,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema"
"Neoplasta",24,1.008478441,"Arthropoda","Insecta","Diptera","Empididae","Neoplasta"
"Neothremma",16,11.80486945,"Arthropoda","Insecta","Trichoptera","Uenoidae","Neothremma"
"Oligochaeta",16,0.506640431,"Annelida","Clitellata",,,
"Paraleptophlebia",80,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",8,7.624553901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",472,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Psychoglypha",32,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Rhyacophila",112,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",136,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",8,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",8,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Sweltsa",32,7.797269444,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",64,0.030679362,"Platyhelminthes","Turbellaria",,,
"Zapada",32,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
