"node","N","M","phylum","class","order","family","genus"
"Agathon",1.388888889,3.874741388,"Arthropoda","Insecta","Diptera","Blephariceridae","Agathon"
"Antocha",1.388888889,0.185248823,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha"
"Baetis",12.5,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chelifera",2.777777778,0.684825948,"Arthropoda","Insecta","Diptera","Empididae","Chelifera"
"Chironomidae",23.61111111,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Doroneuria",2.777777778,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Drunella",1.388888889,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Epeorus",6.944444444,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Ephemerella",4.166666667,3.991339222,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella"
"Hydropsyche",11.11111111,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche"
"Ironodes",2.777777778,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Oligochaeta",5.555555556,0.506640431,"Annelida","Clitellata",,,
"Orohermes",1.388888889,12.3826062,"Arthropoda","Insecta","Megaloptera","Corydalidae","Orohermes"
"Pisidium",8.333333333,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",1.388888889,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",9.722222222,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Turbellaria",2.777777778,0.030679362,"Platyhelminthes","Turbellaria",,,
"Wormaldia",5.555555556,7.017858546,"Arthropoda","Insecta","Trichoptera","Philopotamidae","Wormaldia"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
