"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"LO.KERN","KERN","10042",64,"Arthropoda","Arachnida",,,,"Class"
"Chironomidae","Chironomidae",0.95630662,"LO.KERN","KERN","10042",568,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Dicosmoecus","Dicosmoecus",7.071423253,"LO.KERN","KERN","10042",3.2,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","Genus"
"Muscidae","Limnophora",0.83633613,"LO.KERN","KERN","10042",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","Family"
"Ceratopogonidae","Monohelea",0.162619632,"LO.KERN","KERN","10042",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea","Family"
"Oligochaeta","Oligochaeta",0.506640431,"LO.KERN","KERN","10042",70.4,"Annelida","Clitellata",,,,"Subclass"
"Pedicia","Pedicia",4.905052628,"LO.KERN","KERN","10042",1.6,"Arthropoda","Insecta","Diptera","Pediciidae","Pedicia","Genus"
"Prosimulium","Prosimulium",0.291869328,"LO.KERN","KERN","10042",3.2,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","Genus"
"Psychoglypha","Psychoglypha",10.61210978,"LO.KERN","KERN","10042",1.6,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus"
"Turbellaria","Turbellaria",0.030679362,"LO.KERN","KERN","10042",81.6,"Platyhelminthes","Turbellaria",,,,"Class"
