"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"LO.KERN","KERN","10052",200,"Arthropoda","Arachnida",,,,"Class"
"Ameletus","Ameletus",9.08748113,"LO.KERN","KERN","10052",10,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus","Genus"
"Baetis","Baetis",0.712555345,"LO.KERN","KERN","10052",10,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus"
"Bezzia","Bezzia",0.162619632,"LO.KERN","KERN","10052",44,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia","Genus"
"Chironomidae","Chironomidae",0.95630662,"LO.KERN","KERN","10052",526,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Cinygmula","Cinygmula",7.969282283,"LO.KERN","KERN","10052",4,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula","Genus"
"Cleptelmis","Cleptelmis",0.33255826,"LO.KERN","KERN","10052",74,"Arthropoda","Insecta","Coleoptera","Elmidae","Cleptelmis","Genus"
"Culicoides","Culicoides",0.162619632,"LO.KERN","KERN","10052",28,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Culicoides","Genus"
"Dicosmoecus","Dicosmoecus",7.071423253,"LO.KERN","KERN","10052",2,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","Genus"
"Dicranota","Dicranota",0.456662436,"LO.KERN","KERN","10052",2,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus"
"Oligochaeta","Oligochaeta",0.506640431,"LO.KERN","KERN","10052",50,"Annelida","Clitellata",,,,"Subclass"
"Ostracoda","Ostracoda",0.014,"LO.KERN","KERN","10052",32,"Arthropoda","Ostracoda",,,,"Class"
"Paraleptophlebia","Paraleptophlebia",1.004883072,"LO.KERN","KERN","10052",48,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","Genus"
"Pisidium","Pisidium",0.102405857,"LO.KERN","KERN","10052",6,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium","Genus"
"Psychoglypha","Psychoglypha",10.61210978,"LO.KERN","KERN","10052",2,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus"
"Serratella","Serratella",1.176798991,"LO.KERN","KERN","10052",4,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella","Genus"
"Simulium","Simulium",0.357951466,"LO.KERN","KERN","10052",6,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","Genus"
"Turbellaria","Turbellaria",0.030679362,"LO.KERN","KERN","10052",2,"Platyhelminthes","Turbellaria",,,,"Class"
"Zapada","Zapada",0.789662984,"LO.KERN","KERN","10052",2,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","Genus"
"Benthic.producers","Benthic.producers",0.001,"LO.KERN","KERN","10052",1,,,,"Benthic.producers",,"Family"
"Pelagic.producers","Pelagic.producers",0.001,"LO.KERN","KERN","10052",1,,,,"Pelagic.producers",,"Family"
