"node","N","M","phylum","class","order","family","genus"
"Acentrella",31.50315032,0.285232064,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Baetis",144.0144014,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",67.50675068,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Desmona",49.5049505,11.25992905,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Dicranota",13.50135014,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Diphetor",31.50315032,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Prosimulium",9.00090009,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
