"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Rhyacophila",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","exact",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Simulium",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",90.0090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Calineuria","Acentrella",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella","order","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Calineuria","Baetis",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Calineuria","Calineuria",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","order","order",29,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Calineuria","Ecclisomyia",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","order","order",39,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Calineuria","Chironomidae",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Calineuria","Neothremma",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",4.500450045,"Arthropoda","Insecta","Trichoptera","Uenoidae","Neothremma","order","order",39,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Calineuria","Oreogeton",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",40.50405041,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Calineuria","Prosimulium",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Calineuria","Rhyacophila",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",4.500450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","order","exact",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Calineuria","Simulium",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",90.0090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Acentrella",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella","order","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Baetis",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Calineuria",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","order","order",17,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Ecclisomyia",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","family","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Chironomidae",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Oligochaeta",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",49.5049505,"Annelida","Clitellata",,,,"order","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Neothremma",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",4.500450045,"Arthropoda","Insecta","Trichoptera","Uenoidae","Neothremma","family","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Oreogeton",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",40.50405041,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","family","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Prosimulium",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Rhyacophila",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",4.500450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","order","exact",3,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ecclisomyia","Simulium",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",90.0090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Acentrella",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,13.50135014,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella","exact","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Baetis",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","exact","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Calineuria",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","exact","order",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Ecclisomyia",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","family","family",12,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Chironomidae",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Oligochaeta",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,49.5049505,"Annelida","Clitellata",,,,"family","exact",21,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Neothremma",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Trichoptera","Uenoidae","Neothremma","exact","order",8,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Oreogeton",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",,40.50405041,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","exact","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
