"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"LO.KERN","KERN","10036",70.4,"Arthropoda","Arachnida",,,,"Class"
"Chironomidae","Chironomidae",0.95630662,"LO.KERN","KERN","10036",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Clinocera","Clinocera",1.217892125,"LO.KERN","KERN","10036",25.6,"Arthropoda","Insecta","Diptera","Empididae","Clinocera","Genus"
"Dicranota","Dicranota",0.456662436,"LO.KERN","KERN","10036",6.4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus"
"Limnophora","Limnophora",0.83633613,"LO.KERN","KERN","10036",25.6,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","Genus"
"Prosimulium","Prosimulium",0.291869328,"LO.KERN","KERN","10036",377.6,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","Genus"
"Simulium","Simulium",0.357951466,"LO.KERN","KERN","10036",390.4,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","Genus"
"Turbellaria","Turbellaria",0.030679362,"LO.KERN","KERN","10036",6.4,"Platyhelminthes","Turbellaria",,,,"Class"
"Benthic.producers","Benthic.producers",0.001,"LO.KERN","KERN","10036",1,,,,"Benthic.producers",,"Family"
"Pelagic.producers","Pelagic.producers",0.001,"LO.KERN","KERN","10036",1,,,,"Pelagic.producers",,"Family"
