"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"LO.KERN","KERN","10044",480,"Arthropoda","Arachnida",,,,"Class"
"Alloperla","Alloperla",2.473558448,"LO.KERN","KERN","10044",16,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla","Genus"
"Ameletus","Ameletus",9.08748113,"LO.KERN","KERN","10044",256,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus","Genus"
"Baetis","Baetis",0.712555345,"LO.KERN","KERN","10044",144,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus"
"Ceratopogon","Ceratopogon",1.154618482,"LO.KERN","KERN","10044",16,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Ceratopogon","Genus"
"Chironomidae","Chironomidae",0.95630662,"LO.KERN","KERN","10044",6192,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Cinygmula","Cinygmula",7.969282283,"LO.KERN","KERN","10044",240,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula","Genus"
"Clinocera","Clinocera",1.217892125,"LO.KERN","KERN","10044",336,"Arthropoda","Insecta","Diptera","Empididae","Clinocera","Genus"
"Dicosmoecus","Dicosmoecus",7.071423253,"LO.KERN","KERN","10044",16,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","Genus"
"Drunella","Drunella",4.884692448,"LO.KERN","KERN","10044",128,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella","Genus"
"Limnophora","Limnophora",0.83633613,"LO.KERN","KERN","10044",16,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","Genus"
"Neoplasta","Neoplasta",1.008478441,"LO.KERN","KERN","10044",32,"Arthropoda","Insecta","Diptera","Empididae","Neoplasta","Genus"
"Oligochaeta","Oligochaeta",0.506640431,"LO.KERN","KERN","10044",288,"Annelida","Clitellata",,,,"Subclass"
"Ostracoda","Ostracoda",0.014,"LO.KERN","KERN","10044",160,"Arthropoda","Ostracoda",,,,"Class"
"Paraleptophlebia","Paraleptophlebia",1.004883072,"LO.KERN","KERN","10044",336,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","Genus"
"Pisidium","Pisidium",0.102405857,"LO.KERN","KERN","10044",304,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium","Genus"
"Rhyacophila","Rhyacophila",5.337910712,"LO.KERN","KERN","10044",48,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","Genus"
"Serratella","Serratella",1.176798991,"LO.KERN","KERN","10044",208,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella","Genus"
"Skwala","Skwala",67.53532213,"LO.KERN","KERN","10044",112,"Arthropoda","Insecta","Plecoptera","Perlodidae","Skwala","Genus"
"Turbellaria","Turbellaria",0.030679362,"LO.KERN","KERN","10044",832,"Platyhelminthes","Turbellaria",,,,"Class"
"Benthic.producers","Benthic.producers",0.001,"LO.KERN","KERN","10044",1,,,,"Benthic.producers",,"Family"
"Pelagic.producers","Pelagic.producers",0.001,"LO.KERN","KERN","10044",1,,,,"Pelagic.producers",,"Family"
