"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Chironomidae","Oligochaeta",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,22.50225023,"Annelida","Clitellata",,,,"family","exact",21,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Chironomidae","Rhyacophila",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",14,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Chironomidae","Simulium",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",14,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Oligochaeta","Baetis",22.50225023,"Annelida","Clitellata",,,,4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","exact","order",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Oligochaeta","Helodon",22.50225023,"Annelida","Clitellata",,,,27.00270027,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","exact","order",5,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Oligochaeta","Chironomidae",22.50225023,"Annelida","Clitellata",,,,166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Oligochaeta","Oligochaeta",22.50225023,"Annelida","Clitellata",,,,22.50225023,"Annelida","Clitellata",,,,"exact","exact",2,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Oligochaeta","Rhyacophila",22.50225023,"Annelida","Clitellata",,,,45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","order",15,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Oligochaeta","Simulium",22.50225023,"Annelida","Clitellata",,,,4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","order",5,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Rhyacophila","Baetis",45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Rhyacophila","Helodon",45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",27.00270027,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","order","order",5,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Rhyacophila","Chironomidae",45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","family",5,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Rhyacophila","Oligochaeta",45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",22.50225023,"Annelida","Clitellata",,,,"order","exact",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Rhyacophila","Rhyacophila",45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Rhyacophila","Simulium",45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","order","order",5,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Simulium","Baetis",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",12,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Simulium","Helodon",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",27.00270027,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","exact","family",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Simulium","Chironomidae",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",2,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Simulium","Oligochaeta",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",22.50225023,"Annelida","Clitellata",,,,"exact","exact",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Simulium","Rhyacophila",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Simulium","Simulium",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
