"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"LO.KERN","KERN","10038",152,"Arthropoda","Arachnida",,,,"Class"
"Ameletus","Ameletus",9.08748113,"LO.KERN","KERN","10038",84,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus","Genus"
"Baetis","Baetis",0.712555345,"LO.KERN","KERN","10038",8,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus"
"Chironomidae","Chironomidae",0.95630662,"LO.KERN","KERN","10038",1772,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Cinygmula","Cinygmula",7.969282283,"LO.KERN","KERN","10038",20,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula","Genus"
"Clinocera","Clinocera",1.217892125,"LO.KERN","KERN","10038",4,"Arthropoda","Insecta","Diptera","Empididae","Clinocera","Genus"
"Dicosmoecus","Dicosmoecus",7.071423253,"LO.KERN","KERN","10038",8,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","Genus"
"Dicranota","Dicranota",0.456662436,"LO.KERN","KERN","10038",12,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus"
"Drunella","Drunella",4.884692448,"LO.KERN","KERN","10038",12,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella","Genus"
"Oligochaeta","Oligochaeta",0.506640431,"LO.KERN","KERN","10038",80,"Annelida","Clitellata",,,,"Subclass"
"Ostracoda","Ostracoda",0.014,"LO.KERN","KERN","10038",16,"Arthropoda","Ostracoda",,,,"Class"
"Paraleptophlebia","Paraleptophlebia",1.004883072,"LO.KERN","KERN","10038",24,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","Genus"
"Pisidium","Pisidium",0.102405857,"LO.KERN","KERN","10038",172,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium","Genus"
"Psychoglypha","Psychoglypha",10.61210978,"LO.KERN","KERN","10038",8,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus"
"Sweltsa","Sweltsa",7.797269444,"LO.KERN","KERN","10038",12,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa","Genus"
"Turbellaria","Turbellaria",0.030679362,"LO.KERN","KERN","10038",188,"Platyhelminthes","Turbellaria",,,,"Class"
"Benthic.producers","Benthic.producers",0.001,"LO.KERN","KERN","10038",1,,,,"Benthic.producers",,"Family"
"Pelagic.producers","Pelagic.producers",0.001,"LO.KERN","KERN","10038",1,,,,"Pelagic.producers",,"Family"
