"node","N","M","phylum","class","order","family","genus"
"Acari",4.500450045,0.1,"Arthropoda","Arachnida",,,
"Ameletus",4.500450045,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",148.5148515,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Calineuria",4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Callibaetis",31.50315032,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Cheumatopsyche",13.50135014,8.359033785,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche"
"Chironomidae",1305.130513,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Claassenia",9.00090009,93.16726776,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia"
"Ephemerella",13.50135014,3.991339222,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella"
"Helodon",9.00090009,0.286362446,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon"
"Hydropsyche",4.500450045,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche"
"Malenka",4.500450045,0.596340159,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Paraleptophlebia",13.50135014,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Rhyacophila",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",36.00360036,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Zapada",54.00540054,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
