"resource","consumer","res.taxonomic_name","res.m","res.network","res.o.net","res.site","res.n","res.phylum","res.class","res.order","res.family","res.genus","res.resolved.to","con.taxonomic_name","con.m","con.network","con.o.net","con.site","con.n","con.phylum","con.class","con.order","con.family","con.genus","con.resolved.to","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari","Acari",0.1,"LO.KERN","KERN","10036",70.4,"Arthropoda","Arachnida",,,,"Class","Acari",0.1,"LO.KERN","KERN","10036",70.4,"Arthropoda","Arachnida",,,,"Class","exact","exact",16,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Acari","Chironomidae","Acari",0.1,"LO.KERN","KERN","10036",70.4,"Arthropoda","Arachnida",,,,"Class","Chironomidae",0.95630662,"LO.KERN","KERN","10036",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",1,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Acari","Diptera","Acari",0.1,"LO.KERN","KERN","10036",70.4,"Arthropoda","Arachnida",,,,"Class","Clinocera",1.217892125,"LO.KERN","KERN","10036",25.6,"Arthropoda","Insecta","Diptera","Empididae","Clinocera","Order","exact","exact",1,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Chironomidae","Acari","Chironomidae",0.95630662,"LO.KERN","KERN","10036",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Acari",0.1,"LO.KERN","KERN","10036",70.4,"Arthropoda","Arachnida",,,,"Class","exact","exact",1,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Chironomidae","Chironomidae","Chironomidae",0.95630662,"LO.KERN","KERN","10036",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Chironomidae",0.95630662,"LO.KERN","KERN","10036",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","exact",1,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Chironomidae","Dicranota","Chironomidae",0.95630662,"LO.KERN","KERN","10036",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Dicranota",0.456662436,"LO.KERN","KERN","10036",6.4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus","family","exact",103,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Chironomidae","Prosimulium","Chironomidae",0.95630662,"LO.KERN","KERN","10036",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Prosimulium",0.291869328,"LO.KERN","KERN","10036",377.6,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","Genus","family","exact",6,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Chironomidae","Simulium","Chironomidae",0.95630662,"LO.KERN","KERN","10036",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Simulium",0.357951466,"LO.KERN","KERN","10036",390.4,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","Genus","exact","exact",5,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Diptera","Dicranota","Clinocera",1.217892125,"LO.KERN","KERN","10036",25.6,"Arthropoda","Insecta","Diptera","Empididae","Clinocera","Order","Dicranota",0.456662436,"LO.KERN","KERN","10036",6.4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus","exact","family",1,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Dicranota","Dicranota","Dicranota",0.456662436,"LO.KERN","KERN","10036",6.4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus","Dicranota",0.456662436,"LO.KERN","KERN","10036",6.4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus","exact","exact",5,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
