"node","N","M","phylum","class","order","family","genus"
"Acari",3741.338113,0.1,"Arthropoda","Arachnida",,,
"Ameletus",15.13341298,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",301.8717642,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Bezzia",8.960573477,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Chironomidae",4408.801275,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Clinocera",37.43528475,1.217892125,"Arthropoda","Insecta","Diptera","Empididae","Clinocera"
"Dicosmoecus",5.575467941,7.071423253,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus"
"Diphetor",95.57945042,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",19.11589008,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Drunella",2.38948626,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Epeorus",23.8948626,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heterlimnius",169.6535245,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Ironodes",6.371963361,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Limnophora",2.38948626,0.83633613,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Neoplasta",33.45280765,1.008478441,"Arthropoda","Insecta","Diptera","Empididae","Neoplasta"
"Oligochaeta",135.2050976,0.506640431,"Annelida","Clitellata",,,
"Ostracoda",203.9028276,0.014,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",96.37594584,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",2.38948626,7.624553901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",60.53365193,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",6.371963361,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Psychoglypha",38.23178017,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Rhyacophila",26.48347272,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",10.35444046,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",45.40023895,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stilobezzia",3.584229391,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia"
"Turbellaria",128.6340104,0.030679362,"Platyhelminthes","Turbellaria",,,
"Zapada",46.19673437,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
