"node","N","M","phylum","class","order","family","genus"
"Chironomidae",76.50765077,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Pisidium",283.5283528,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",292.5292529,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Simulium",450.0450045,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
