"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"UP.KERN","KERN","10033",1301.333333,"Arthropoda","Arachnida",,,,"Class"
"Baetis","Baetis",0.712555345,"UP.KERN","KERN","10033",501.3333333,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus"
"Chironomidae","Chironomidae",0.95630662,"UP.KERN","KERN","10033",1898.666667,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Diptera","Clinocera",1.217892125,"UP.KERN","KERN","10033",10.66666667,"Arthropoda","Insecta","Diptera","Empididae","Clinocera","Order"
"Diphetor","Diphetor",2.092471648,"UP.KERN","KERN","10033",10.66666667,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor","Genus"
"Doroneuria","Doroneuria",47.55178364,"UP.KERN","KERN","10033",10.66666667,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","Genus"
"Drunella","Drunella",4.884692448,"UP.KERN","KERN","10033",10.66666667,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella","Genus"
"Paraleptophlebia","Paraleptophlebia",1.004883072,"UP.KERN","KERN","10033",10.66666667,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","Genus"
"Pedicia","Pedicia",4.905052628,"UP.KERN","KERN","10033",10.66666667,"Arthropoda","Insecta","Diptera","Pediciidae","Pedicia","Genus"
"Pisidium","Pisidium",0.102405857,"UP.KERN","KERN","10033",10.66666667,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium","Genus"
"Rhyacophila","Rhyacophila",5.337910712,"UP.KERN","KERN","10033",53.33333334,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","Genus"
"Simulium","Simulium",0.357951466,"UP.KERN","KERN","10033",2581.333333,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","Genus"
"Zapada","Zapada",0.789662984,"UP.KERN","KERN","10033",32,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","Genus"
