"node","N","M","phylum","class","order","family","genus"
"Acari",622.4611709,0.1,"Arthropoda","Arachnida",,,
"Ameletus",206.6905615,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Apatania",150.5376344,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Bezzia",9.557945042,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Chelifera",3.584229391,0.684825948,"Arthropoda","Insecta","Diptera","Empididae","Chelifera"
"Chironomidae",18305.85424,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Cinygmula",56.15292712,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Culicoides",1.19474313,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Culicoides"
"Dicosmoecus",3.584229391,7.071423253,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus"
"Dicranota",2.38948626,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Diphetor",33.45280765,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",25.08960573,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Limnophora",4.778972521,0.83633613,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Oligochaeta",338.1123059,0.506640431,"Annelida","Clitellata",,,
"Ostracoda",229.390681,0.014,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",56.15292712,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",1.19474313,7.624553901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",538.8291517,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Psychoglypha",25.08960573,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Rhyacophila",7.168458781,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",2.38948626,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",1.19474313,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",7.168458781,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Sweltsa",16.72640382,7.797269444,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",68.10035842,0.030679362,"Platyhelminthes","Turbellaria",,,
"Zapada",28.67383513,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
